Sentence,Two_Entity,Predict,Label,idx
"central command said , no , its forces were trading fire from a hotel where the network was housed .","[[forces], [hotel]]",PHYS-lr,NONE,93
"sean flynn , son of the famous actor er ##rol flynn , disappeared in cambodia in 1970 .","[[er, ##rol, flynn], [cambodia]]",PHYS-lr,NONE,232
fourth day of combat operations today bore fruit for the air wing and the ship team here .,"[[team], [here]]",PHYS-lr,NONE,562
reporter : last time we saw this sailor he was washing dishes in the g ##hal ##i .,"[[sailor], [g, ##hal, ##i]]",PHYS-lr,NONE,764
i ' ve been here for four and a half years .,"[[i], [here]]",PHYS-lr,NONE,774
as we watched this picture of the air force one getting into this airport i want to bring in our military analyst general dan cr ##isman to go over what happens happening in baghdad .,"[[dan, cr, ##isman], [baghdad]]",PHYS-lr,NONE,977
"apparently three ba tal ##ians of the u . s . 3rd division in baghdad three coalition assets , three huge battle groups in bas ##ra itself which the u . k . has there , what they ' ve developed here , wolf , over the last several weeks i very clear and increasingly clear intelligence as to what the final remnants of the regime leadership are in terms of where they are embedded in the cities .","[[groups], [bas, ##ra]]",PHYS-lr,NONE,1100
it is the equipment of choice for a task force like this to go into baghdad .,"[[force], [baghdad]]",PHYS-lr,NONE,1384
"are we going to allow severely injured people who have found a lung taken out that ' s the wrong lung or a double mast ##ect ##omy that was n ' t indicated that was inflicted on a woman in the midwest , or that organ transplant that was incompatible on that 17 - year - old teenager in north carolina .","[[teenager], [north, carolina]]",PHYS-lr,NONE,1724
"it brought stability to california and ob ##ste ##tric ##ians in california will pay 55 , 57 , $ 60 , 000 in los angeles and in south florida in miami , they ' ll pay $ 210 , 000 . . . ( cross ##talk ) nad ##er because in california they have regulated the insurance company premium levels .","[[ob, ##ste, ##tric, ##ians], [california]]",PHYS-lr,NONE,2030
some army units routed iraqi fighters from a republican guard headquarters inside the capital .,"[[headquarters], [capital]]",PHYS-lr,NONE,2484
some army units routed iraqi fighters from a republican guard headquarters inside the capital .,"[[units], [headquarters]]",PHYS-lr,NONE,2494
"` ` the incident . . . raises questions about the judgment of the advancing u . s . troops who have known all along that this hotel is the main base for almost all foreign journalists in baghdad , ' ' reuters editor - in - chief gee ##rt lin ##ne ##bank said .","[[journalists], [baghdad]]",PHYS-lr,NONE,2611
"tar ##e ##q a ##y ##you ##b , a journalist with al - ja ##zee ##ra , died when a u . s . warp ##lane bombed the arab - language satellite television ' s office .","[[tar, ##e, ##q, a, ##y, ##you, ##b], [office]]",PHYS-lr,NONE,2652
associated press photographer jerome delay said he watched from the top floor of the hotel as american tanks took up positions on the bridge .,"[[he], [floor]]",PHYS-lr,NONE,2743
"british forces in southern iraq worked to restore order in the heavily looted streets of bas ##ra , as desperate citizens swarm ##ed water tanker trucks the day after british soldiers claimed iraq ' s second largest city .","[[forces], [iraq]]",PHYS-lr,NONE,3006
"cnn _ ip _ 2003 ##0 ##41 ##4 . 1600 . 04 story 2003 - 04 - 14 ##t ##16 : 00 : 00 - 05 : 00 virtually no resistance in ti ##kr ##it , supposedly place of saddam ' s last stand ( begin video ##ta ##pe ) miles o ' brien , cnn correspondent ( voice - over ) the people of ti ##kr ##it are saying saddam ' s family left that city three days ago , well before the americans arrived .","[[family], [city]]",PHYS-lr,NONE,3248
"12 : 19 p . m . : cnn ' s ryan chi ##lco ##te reports the 101 ##st airborne 2nd brigade finds 11 of what an army general describes as che ##m - bio labs buried to avoid detection near ka ##rba ##la , each of the structures 20 - by - 20 feet .","[[101, ##st, airborne, 2nd, brigade], [11]]",PHYS-lr,NONE,3280
he wants to call his mom in houston .,"[[mom], [houston]]",PHYS-lr,NONE,3381
"i ' m in the middle of baghdad , just patrolling up and down the streets .","[[i], [streets]]",PHYS-lr,NONE,3398
"ru ##la amin , cnn , baghdad .","[[ru, ##la, amin], [baghdad]]",PHYS-lr,NONE,3474
they say some iraqi ##s who worked in the field before the war already are asking for their jobs back .,"[[who], [field]]",PHYS-lr,NONE,3503
iraqi ##s pulled back on the road to mo ##sul as cnn ' s jane ar ##raf reports from the battlefield .,"[[iraqi, ##s], [road]]",PHYS-lr,NONE,4537
iraqi ##s pulled back on the road to mo ##sul as cnn ' s jane ar ##raf reports from the battlefield .,"[[road], [mo, ##sul]]",PHYS-lr,NONE,4544
"( begin video ##ta ##pe ) jane ar ##raf , cnn correspondent ( voice - over ) a few miles further to mo ##sul , kurdish militia and their flags speeding to a town abandoned by iraqi forces .","[[jane, ar, ##raf], [mo, ##sul]]",PHYS-lr,NONE,4577
