Sentence,Two_Entity,Predict,Label,idx
"let ' s check in with [unused3] rusty do ##rn ##in , out in [unused5] [unused5] , california , with the latest on that . [SEP] our [SEP] modest ##o","[[], []]",PHYS-lr,NONE,10721
[unused2] [unused2] [unused2] is with the u . k . forces in southern [unused4] . [SEP] greg mil ##am [SEP] iraq,"[[], []]",PHYS-lr,NONE,19299
"[unused2] had been licensing to a bunch of different manufacturers , and in 1996 we were at a show in [unused5] [unused5] [unused5] where nick load ##a and universal studios , and ta ##co bell walked up to us and said they were looking for a mass cot for their brand and this would be perfect . [SEP] we [SEP] new york city","[[], []]",PHYS-lr,NONE,27206
"sen . richard lu ##gar ( r ) , indiana no , i con ##cu ##r with secretary powell , secretary rum ##sf ##eld , the president , that weapons of mass destruction are there , and likewise , that [unused5] will be led to [unused8] by people knowledge ##able in the country as to where they are . [SEP] we [SEP] them","[[], []]",PHYS-lr,NONE,31482
"but what [unused5] just learned this week from "" [unused3] [unused3] [unused3] which got a hold of the de ##bri ##ef ##ings , is that he also told us it was destroyed back in 1995 . [SEP] we [SEP] newsweek "" magazine","[[], []]",PHYS-lr,NONE,40241
"( cross ##talk ) nad ##er these executives , why do n ' t you tell . . . [unused2] [unused2] [unused2] in [unused5] - wait , mr . nad ##er . [SEP] palm ##isan ##o [SEP] california","[[], []]",PHYS-lr,NONE,43777
"bacon ##sr ##eb ##elli ##on _ 2005 ##0 ##21 ##8 . 121 ##4 web text 2005 - 02 - 18 ##t ##12 : 14 : 00 make a wise choice will ve ##hr ##s 2005 - 02 - 18 ##t ##12 : 14 : 00 [unused5] is apparently going to be build a data center in [unused5] , a back - up data center , and a help desk / call center as a follow - on to the creation of vita , the virginia information technology agency . [SEP] virginia [SEP] richmond","[[], []]",PHYS-lr,NONE,52131
"riot [unused2] intervened after the protest ##ors , who included hundreds of students from the american university in cairo , rallied on the city ' s central [unused6] [unused6] [unused6] [unused6] , close to both the university campus and the us embassy . [SEP] police [SEP] ta ##hri ##r square","[[], []]",PHYS-lr,NONE,60771
"riot police intervened after the [unused2] [unused2] , who included hundreds of students from the american university in cairo , rallied on the city ' s central ta ##hri ##r square , close to both the university [unused6] and the us embassy . [SEP] protest ##ors [SEP] campus","[[], []]",PHYS-lr,NONE,60780
"riot police intervened after the protest ##ors , [unused2] included hundreds of students from the american university in cairo , rallied on the city ' s central [unused6] [unused6] [unused6] [unused6] , close to both the university campus and the us embassy . [SEP] who [SEP] ta ##hri ##r square","[[], []]",PHYS-lr,NONE,60786
"riot police intervened after the protest ##ors , who included hundreds of [unused2] from the american university in cairo , rallied on the city ' s central [unused6] [unused6] [unused6] [unused6] , close to both the university campus and the us embassy . [SEP] students [SEP] ta ##hri ##r square","[[], []]",PHYS-lr,NONE,60792

"from the cnn center in [unused5] , [unused2] ' m fred fred . [SEP] atlanta [SEP] i","[[], []]",PART-WHOLE-lr,NONE,26506
seven prosecutors read in turn the indictment against ba ' as ##yi ##r at the makeshift court [unused6] in the meteor ##ology and geo ##physics agency ' s office in [unused4] [unused4] . [SEP] room [SEP] central jakarta,"[[], []]",PART-WHOLE-lr,NONE,35880

"it ' s the duty of international community to restore as much as possible to the museum and then , i think , the international community must organize [unused2] to help the iraqi [unused2] restore what is left . [SEP] itself [SEP] colleagues","[[], []]",PER-SOC-lr,NONE,35291

[unused5] [unused5] ' s [unused3] [unused3] [unused3] [unused3] [unused3] newspapers and others quoted unnamed south korean government sources as saying p ##yon ##gy ##ang also urged washington not to hind ##er its efforts to establish and improve ties with seoul and tokyo . [SEP] south korea [SEP] mu ##nh ##wa il ##bo,"[[], []]",ORG-AFF-lr,NONE,4737
"[unused2] had been licensing to a bunch of different [unused3] , and in 1996 we were at a show in new york city where nick load ##a and universal studios , and ta ##co bell walked up to us and said they were looking for a mass cot for their brand and this would be perfect . [SEP] we [SEP] manufacturers","[[], []]",ORG-AFF-lr,NONE,27200
"il ##ies ##cu and nas ##tase , ex - president and ex - prime [unused2] , are now left only with the leadership of the [unused3] and holding this ill ##uso ##ry authority . [SEP] minister [SEP] party","[[], []]",ORG-AFF-lr,NONE,27551
"[unused2] think it has described him , especially since he ' s taken basically a one - man rule over with the [unused3] [unused3] [unused3] in 1979 . [SEP] i [SEP] ba ##ath party","[[], []]",ORG-AFF-lr,NONE,28046
"i think it has described him , especially since [unused2] ' s taken basically a one - [unused2] rule over with the ba ##ath party in 1979 . [SEP] he [SEP] man","[[], []]",ORG-AFF-lr,NONE,28050
but dal ##lic shows he you ##ed his [unused2] ' s influence to get into the [unused3] just as america was on the verge of world war ii . [SEP] family [SEP] navy,"[[], []]",ORG-AFF-lr,NONE,32966
but [unused2] [unused2] shows he you ##ed his family ' s influence to get into the [unused3] just as america was on the verge of world war ii . [SEP] dal ##lic [SEP] navy,"[[], []]",ORG-AFF-lr,NONE,32970
[unused2] only paid tiger woods $ 40 million for his deal coming out of [unused3] [unused3] . [SEP] they [SEP] stanford university,"[[], []]",ORG-AFF-lr,NONE,36133
"[unused2] ' s now national director of [unused3] [unused3] [unused3] , and former congressman bob do ##rna ##n , republican of california . [SEP] he [SEP] win without war","[[], []]",ORG-AFF-lr,NONE,40115
"as part of the 11 - billion - dollar sale of usa interactive ' s film and television operations to the french [unused3] company in december 2001 , usa interactive received 2 . 5 billion dollars in preferred shares in [unused3] [unused3] [unused3] [unused3] [unused3] . [SEP] media [SEP] vi ##ven ##di universal entertainment","[[], []]",ORG-AFF-lr,NONE,49909
