Sentence,Two_Entity,Predict,Label,idx
"others are down to 50 percent , but there ' s still one or two divisions around 75 , 80 , 90 percent of their fighting strength , and they could still put up very stiff resistance , indeed , when the [unused5] forces get en mass ##e to [unused5] itself . [SEP] american [SEP] baghdad","[[[unused5]], [[unused5]]]",PHYS-lr,NONE,5364
and then the 3rd brigade of the [unused3] [unused3] [unused3] secured the [unused5] of ka ##rba ##la . [SEP] 3rd infantry division [SEP] town,"[[[unused3], [unused3], [unused3]], [[unused5]]]",PHYS-lr,NONE,9678
[unused2] [unused2] [unused2] is with the u . k . forces in southern [unused4] . [SEP] greg mil ##am [SEP] iraq,"[[[unused2], [unused2], [unused2]], [[unused4]]]",PHYS-lr,NONE,19299
"o ##dai al - tai ##e , a senior information ministry official , said the [unused2] crushing the [unused8] took friday off because they had worked on tuesday , the muslim new year . [SEP] workers [SEP] missiles","[[[unused2]], [[unused8]]]",PHYS-lr,NONE,26052
"from the [unused3] [unused6] in atlanta , i ' m fred fred . [SEP] cnn [SEP] center","[[[unused3]], [[unused6]]]",PHYS-lr,NONE,26499
"gary tu ##chman in an air [unused6] near the iraq [unused4] , thanks very much , gary tu ##chman . [SEP] base [SEP] border","[[[unused6]], [[unused4]]]",PHYS-lr,NONE,38437
"[unused2] [unused2] [unused2] in an air [unused6] near the iraq border , thanks very much , gary tu ##chman . [SEP] gary tu ##chman [SEP] base","[[[unused2], [unused2], [unused2]], [[unused6]]]",PHYS-lr,NONE,38442
"so that means we can bring more pictures , more information about [unused4] back to the [unused2] of the earth , in this particular landing opportunity . [SEP] mars [SEP] people","[[[unused4]], [[unused2]]]",PHYS-lr,NONE,55257
"this evening , about 8 : 45 p . m . , members of my fugitive unit received a telephone call from an inform ##tive saying they thought that they had observed the suspect [unused2] [unused2] in the [unused4] of woods drive and donald lee holland parkway in southwest atlanta . [SEP] derrick lee [SEP] area","[[[unused2], [unused2]], [[unused4]]]",PHYS-lr,NONE,64149

most of the new stores competing with [unused3] are in [unused5] . [SEP] giant [SEP] virginia,"[[[unused3]], [[unused5]]]",PART-WHOLE-lr,NONE,5479
"leaders of the two asian giants , according to u ##f ##g financial broker ##age , may ink a deal for the construction of a 2 , 400 kilometre ( 1 , 500 - mile ) oil [unused6] from eastern [unused4] to the chinese city of da ##qing , bringing russian crude to energy - hungry china . [SEP] pipeline [SEP] siberia","[[[unused6]], [[unused4]]]",PART-WHOLE-lr,NONE,6912
"[unused5] , the [unused5] where sar ##s originated , has been the hardest hit , with thousands of cases and more than 100 deaths . [SEP] china [SEP] country","[[[unused5]], [[unused5]]]",PART-WHOLE-lr,NONE,26263
"however , in the two times the game has been played in [unused6] [unused6] [unused6] , [unused3] has won . [SEP] bryant denny stadium [SEP] auburn","[[[unused6], [unused6], [unused6]], [[unused3]]]",PART-WHOLE-lr,NONE,37624
"unfortunately , we do not have a national group that can appeal to iraqi ##s as iraqi ##s within a credible voice . this needs to be constructed , maybe through a conference to be held in baghdad , where representatives from [unused5] all over [unused5] need to participate , as well as political groups . [SEP] provinces [SEP] iraq","[[[unused5]], [[unused5]]]",PART-WHOLE-lr,NONE,47032
"jeanne me ##ser ##ve , [unused3] , [unused5] [unused5] , virginia . [SEP] cnn [SEP] fairfax county","[[[unused3]], [[unused5], [unused5]]]",PART-WHOLE-lr,NONE,51146
"jeanne me ##ser ##ve , cnn , [unused5] [unused5] , [unused5] . [SEP] fairfax county [SEP] virginia","[[[unused5], [unused5]], [[unused5]]]",PART-WHOLE-lr,NONE,51147
for a while ( see [unused3] [unused3] [unused3] [unused3] [unused3] [unused3] [unused3] [unused3] or [unused3] [unused3] for details ) . [SEP] ling - te ##mc ##o - vo ##ught [SEP] ty ##co,"[[[unused3], [unused3], [unused3], [unused3], [unused3], [unused3], [unused3], [unused3]], [[unused3], [unused3]]]",PART-WHOLE-lr,NONE,64783

"they have reunited with their [unused2] and [unused2] , at the aircraft carrier ' s home port in norfolk , virginia . [SEP] families [SEP] friends","[[[unused2]], [[unused2]]]",PER-SOC-lr,NONE,7888
[unused2] [unused2] anna also got one . [SEP] her [SEP] friend,"[[[unused2]], [[unused2]]]",PER-SOC-lr,NONE,16726
"and you see apache helicopter pilot and his [unused2] [unused2] who was talking with us on the telephone the sunday morning when the video came in of the rescue of the p . o . w . s and she was able to tell us on the telephone as we had those pictures up on air , she identified her husband and life just got better and better for her after that . [SEP] wife [SEP] michelle","[[[unused2]], [[unused2]]]",PER-SOC-lr,NONE,20202
[unused2] [unused2] is over ##joy ##ed . [SEP] her [SEP] family,"[[[unused2]], [[unused2]]]",PER-SOC-lr,NONE,32719

"besides jp morgan and ci ##ti ##group , the other en ##ron advisers include bank of america , cs ##fb , merrill lynch , u ##bs , deutsche bank , goldman sachs , lehman brothers holdings , ab ##n am ##ro , barclay ##s plc , canadian imperial bank of commerce , west ##lb ag and national westminster bank plc , now [unused3] of [unused3] [unused3] [unused3] [unused3] [unused3] . [SEP] part [SEP] royal bank of scotland plc","[[[unused3]], [[unused3], [unused3], [unused3], [unused3], [unused3]]]",ORG-AFF-lr,NONE,32382
- the removal of certain [unused2] ( most of them from shi ' it ##e islamic [unused3] such as ibrahim al - ja ' far ##i ) from governmental positions . [SEP] officials [SEP] parties,"[[[unused2]], [[unused3]]]",ORG-AFF-lr,NONE,62900

"[unused2] [unused2] [unused2] [unused2] soldiers take a knee , their weapons brought down from the ready position . [SEP] chi ##lco ##te [SEP] his","[[[unused2], [unused2], [unused2]], [[unused2]]]",ART-lr,NONE,13917
"last year , u . s . president george w . bush said north korea was part of an ` ` axis of evil ' ' along with iraq and iran , and that [unused5] was developing [unused8] of mass destruction . [SEP] it [SEP] weapons","[[[unused5]], [[unused8]]]",ART-lr,NONE,16127
"[unused2] [unused2] [unused8] , mortar ##s , all sorts of ammunition abandoned by iraqi soldiers but there for the taking . [SEP] mil ##am [SEP] grenades","[[[unused2], [unused2]], [[unused8]]]",ART-lr,NONE,19428
"in the past week , iraq has destroyed [unused8] of its 100 al sam ##oud 2 [unused8] , prohibited by the united nations because some tests indicated they could fly farther than 150 kilometers ( 93 miles ) . [SEP] 40 [SEP] missiles","[[[unused8]], [[unused8]]]",ART-lr,NONE,25568
"we ' ve prosecuted with the alliance a successful liberation of the iraqi people , and we have clearly caused [unused2] to destroy [unused8] of mass destruction , or at least to suppress evidence of them . [SEP] saddam [SEP] weapons","[[[unused2]], [[unused8]]]",ART-lr,NONE,31689
"ap ##w _ eng _ 2003 ##0 ##51 ##3 . 01 ##39 news story 2003 ##0 ##51 ##3 north korea may have fired laser at us aircraft , official says , as north null ##ifies accord to keep peninsula nuclear - weapons free seoul , south korea ( ap ) north korea ' s military may have fired a laser at a u . s . helicopter in march , a u . s . official said tuesday , as the communist state ditch ##ed its last legal obligation to keep [unused5] free of nuclear [unused8] . [SEP] itself [SEP] weapons","[[[unused5]], [[unused8]]]",ART-lr,NONE,33310
"north korea also hinted during the meetings that [unused5] have nuclear [unused8] and may conduct a test , a u . s . official said . [SEP] they [SEP] weapons","[[[unused5]], [[unused8]]]",ART-lr,NONE,53553
"china , the north ' s ally and major aid donor , says it does n ' t want [unused5] [unused5] [unused5] [unused5] to acquire nuclear [unused8] and has appealed for a negotiated settlement to the crisis . [SEP] p ##yon ##gy ##ang [SEP] weapons","[[[unused5], [unused5], [unused5], [unused5]], [[unused8]]]",ART-lr,NONE,53830
would you support the use of military force to block [unused5] from developing nuclear [unused8] ? [SEP] iran [SEP] weapons,"[[[unused5]], [[unused8]]]",ART-lr,NONE,58942

