Total Data:,16500,,,,,,

,ORG-AFF (Pred),GEN-AFF (Pred),PHYS (Pred),PART-WHOLE (Pred),ART (Pred),PER-SOC (Pred),NONE (Pred)
ORG-AFF (Label),176,9,2,4,32,11,287
GEN-AFF (Label),2,19,3,1,32,0,95
PHYS (Label),1,3,31,1,10,1,320
PART-WHOLE (Label),2,4,3,18,46,0,127
ART (Label),3,3,0,2,56,1,165
PER-SOC (Label),1,1,0,0,5,56,45
NONE (Label),62,32,64,22,355,71,14316

False Positive:,606
False Negative:,1039
test accuracy(True Positive + True Negatice):,14672
Wrong Type:,183
F1 Score:,0.3499012051791558
